#--- Experiment --------------------------------------------------------------------------																																																																															
#240610_saltwater1																																																																															
#																																																																															
#--- System ------------------------------------------------------------------------------																																																																															
#Data from PyroScience Workbench V1.5.0.2415   www.pyroscience.com																																																																															
#WARD_FIRESTING3																																																																															
#--- Instrument --------------------------------------------------------------------------																																																																															
#Device: FireSting-O2-B [A] FSO2-C4 SN:21130040 UiD:24E144015D64A6DD Firmware:4.11 Build:001																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.1] - Oxygen Sensor - XA6-539-211 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	6/10/2024	5/13/2024	21.488535	53.690000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.177002	18.493069	45.180000	10.669000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.11°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.2] - Oxygen Sensor - XB7-533-214 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	6/9/2024	5/13/2024	20.968000	50.654000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1004.806000	29.387000	48.449000	10.503000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.11°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.3] - Oxygen Sensor - XB7-535-216 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	6/9/2024	5/13/2024	21.990000	52.601000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1004.740000	29.392000	48.416000	10.627000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.11°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.4] - Oxygen Sensor - XB7-534-212 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	6/9/2024	5/13/2024	20.173000	52.703000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1004.744000	29.387000	48.285000	10.247000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.11°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.11°C																																																																															
#--- Measurement Data --------------------------------------------------------------------																																																																															
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]	Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
10-06-2024	08:40:32.551	-96.588	91.986	22.596	190	0	OK	10-06-2024	08:40:32.551	-96.588	18.490	OK	10-06-2024	08:40:32.551	-96.588	1006	OK	10-06-2024	08:40:32.647	-96.492	76.051	25.240	275	0	OK	10-06-2024	08:40:32.647	-96.492	18.489	OK	10-06-2024	08:40:32.647	-96.492	1006	OK	10-06-2024	08:40:32.748	-96.391	78.680	26.044	207	0	OK	10-06-2024	08:40:32.748	-96.391	18.489	OK	10-06-2024	08:40:32.748	-96.391	1006	OK	10-06-2024	08:40:32.842	-96.298	67.023	26.024	597	0	OK	10-06-2024	08:40:32.842	-96.298	18.489	OK	10-06-2024	08:40:32.842	-96.298	1006	OK	10-06-2024	08:42:09.166	0.027	18.489	OK			
10-06-2024	08:45:32.545	203.406	87.044	23.247	196	0	OK	10-06-2024	08:45:32.545	203.406	18.491	OK	10-06-2024	08:45:32.545	203.406	1006	OK	10-06-2024	08:45:32.669	203.530	76.063	25.238	272	0	OK	10-06-2024	08:45:32.669	203.530	18.491	OK	10-06-2024	08:45:32.669	203.530	1006	OK	10-06-2024	08:45:32.784	203.645	78.706	26.039	208	0	OK	10-06-2024	08:45:32.784	203.645	18.491	OK	10-06-2024	08:45:32.784	203.645	1006	OK	10-06-2024	08:45:32.911	203.772	66.986	26.030	601	0	OK	10-06-2024	08:45:32.911	203.772	18.491	OK	10-06-2024	08:45:32.911	203.772	1006	OK	10-06-2024	08:47:09.168	300.028	18.491	OK			
10-06-2024	08:50:32.550	503.411	83.909	23.681	200	0	OK	10-06-2024	08:50:32.550	503.411	18.495	OK	10-06-2024	08:50:32.550	503.411	1006	OK	10-06-2024	08:50:32.672	503.533	76.160	25.223	271	0	OK	10-06-2024	08:50:32.672	503.533	18.495	OK	10-06-2024	08:50:32.672	503.533	1006	OK	10-06-2024	08:50:32.787	503.648	78.753	26.032	208	0	OK	10-06-2024	08:50:32.787	503.648	18.495	OK	10-06-2024	08:50:32.787	503.648	1006	OK	10-06-2024	08:50:32.908	503.769	67.016	26.025	601	0	OK	10-06-2024	08:50:32.908	503.769	18.494	OK	10-06-2024	08:50:32.908	503.769	1006	OK	10-06-2024	08:52:09.168	600.028	18.492	OK			
10-06-2024	08:55:32.550	803.411	81.647	24.006	203	0	OK	10-06-2024	08:55:32.550	803.411	18.491	OK	10-06-2024	08:55:32.550	803.411	1006	OK	10-06-2024	08:55:32.678	803.539	76.124	25.228	270	0	OK	10-06-2024	08:55:32.678	803.539	18.491	OK	10-06-2024	08:55:32.678	803.539	1006	OK	10-06-2024	08:55:32.792	803.652	78.750	26.032	207	0	OK	10-06-2024	08:55:32.792	803.652	18.491	OK	10-06-2024	08:55:32.792	803.652	1006	OK	10-06-2024	08:55:32.913	803.773	67.046	26.019	600	0	OK	10-06-2024	08:55:32.913	803.773	18.492	OK	10-06-2024	08:55:32.913	803.773	1006	OK	10-06-2024	08:57:09.170	900.030	18.493	OK			
10-06-2024	09:00:32.547	1103.408	79.907	24.263	205	0	OK	10-06-2024	09:00:32.547	1103.408	18.494	OK	10-06-2024	09:00:32.547	1103.408	1006	OK	10-06-2024	09:00:32.675	1103.535	76.099	25.231	270	0	OK	10-06-2024	09:00:32.675	1103.535	18.494	OK	10-06-2024	09:00:32.675	1103.535	1006	OK	10-06-2024	09:00:32.788	1103.649	78.706	26.038	207	0	OK	10-06-2024	09:00:32.788	1103.649	18.494	OK	10-06-2024	09:00:32.788	1103.649	1006	OK	10-06-2024	09:00:32.909	1103.770	66.987	26.029	598	0	OK	10-06-2024	09:00:32.909	1103.770	18.494	OK	10-06-2024	09:00:32.909	1103.770	1006	OK	10-06-2024	09:02:09.170	1200.030	18.494	OK			
10-06-2024	09:05:32.547	1403.407	78.766	24.435	207	0	OK	10-06-2024	09:05:32.547	1403.407	18.495	OK	10-06-2024	09:05:32.547	1403.407	1006	OK	10-06-2024	09:05:32.685	1403.545	76.145	25.223	269	0	OK	10-06-2024	09:05:32.685	1403.545	18.496	OK	10-06-2024	09:05:32.685	1403.545	1006	OK	10-06-2024	09:05:32.798	1403.659	78.709	26.037	207	0	OK	10-06-2024	09:05:32.798	1403.659	18.496	OK	10-06-2024	09:05:32.798	1403.659	1006	OK	10-06-2024	09:05:32.920	1403.781	67.069	26.014	598	0	OK	10-06-2024	09:05:32.920	1403.781	18.496	OK	10-06-2024	09:05:32.920	1403.781	1006	OK	10-06-2024	09:07:09.169	1500.030	18.496	OK			
10-06-2024	09:10:32.547	1703.408	77.963	24.558	207	0	OK	10-06-2024	09:10:32.547	1703.408	18.496	OK	10-06-2024	09:10:32.547	1703.408	1006	OK	10-06-2024	09:10:32.668	1703.529	76.115	25.228	269	0	OK	10-06-2024	09:10:32.668	1703.529	18.496	OK	10-06-2024	09:10:32.668	1703.529	1006	OK	10-06-2024	09:10:32.884	1703.745	78.746	26.031	206	0	OK	10-06-2024	09:10:32.884	1703.745	18.496	OK	10-06-2024	09:10:32.884	1703.745	1006	OK	10-06-2024	09:10:32.781	1703.641	67.111	26.006	596	0	OK	10-06-2024	09:10:32.781	1703.641	18.496	OK	10-06-2024	09:10:32.781	1703.641	1006	OK	10-06-2024	09:12:09.170	1800.030	18.499	OK			
10-06-2024	09:15:32.550	2003.411	77.534	24.623	208	0	OK	10-06-2024	09:15:32.550	2003.411	18.502	OK	10-06-2024	09:15:32.550	2003.411	1006	OK	10-06-2024	09:15:32.672	2003.532	76.180	25.217	269	0	OK	10-06-2024	09:15:32.672	2003.532	18.503	OK	10-06-2024	09:15:32.672	2003.532	1006	OK	10-06-2024	09:15:32.888	2003.749	78.762	26.027	206	0	OK	10-06-2024	09:15:32.888	2003.749	18.503	OK	10-06-2024	09:15:32.888	2003.749	1006	OK	10-06-2024	09:15:32.784	2003.645	67.061	26.014	597	0	OK	10-06-2024	09:15:32.784	2003.645	18.503	OK	10-06-2024	09:15:32.784	2003.645	1006	OK	10-06-2024	09:17:09.171	2100.031	18.500	OK			
10-06-2024	09:20:32.667	2303.528	77.203	24.674	208	0	OK	10-06-2024	09:20:32.667	2303.528	18.504	OK	10-06-2024	09:20:32.667	2303.528	1006	OK	10-06-2024	09:20:32.551	2303.411	76.154	25.220	268	0	OK	10-06-2024	09:20:32.551	2303.411	18.504	OK	10-06-2024	09:20:32.551	2303.411	1006	OK	10-06-2024	09:20:32.795	2303.655	78.705	26.035	206	0	OK	10-06-2024	09:20:32.795	2303.655	18.504	OK	10-06-2024	09:20:32.795	2303.655	1006	OK	10-06-2024	09:20:32.916	2303.777	67.018	26.020	596	0	OK	10-06-2024	09:20:32.916	2303.777	18.505	OK	10-06-2024	09:20:32.916	2303.777	1006	OK	10-06-2024	09:22:09.170	2400.031	18.503	OK			
10-06-2024	09:25:32.665	2603.526	76.970	24.710	209	0	OK	10-06-2024	09:25:32.665	2603.526	18.504	OK	10-06-2024	09:25:32.665	2603.526	1006	OK	10-06-2024	09:25:32.550	2603.411	76.207	25.212	268	0	OK	10-06-2024	09:25:32.550	2603.411	18.504	OK	10-06-2024	09:25:32.550	2603.411	1006	OK	10-06-2024	09:25:32.785	2603.646	78.794	26.022	206	0	OK	10-06-2024	09:25:32.785	2603.646	18.504	OK	10-06-2024	09:25:32.785	2603.646	1006	OK	10-06-2024	09:25:32.908	2603.768	67.128	26.001	596	0	OK	10-06-2024	09:25:32.908	2603.768	18.505	OK	10-06-2024	09:25:32.908	2603.768	1006	OK	10-06-2024	09:27:09.172	2700.033	18.505	OK			
10-06-2024	09:30:32.665	2903.526	76.886	24.722	208	0	OK	10-06-2024	09:30:32.665	2903.526	18.508	OK	10-06-2024	09:30:32.665	2903.526	1007	OK	10-06-2024	09:30:32.551	2903.412	76.173	25.216	267	0	OK	10-06-2024	09:30:32.551	2903.412	18.507	OK	10-06-2024	09:30:32.551	2903.412	1007	OK	10-06-2024	09:30:32.786	2903.647	78.747	26.028	206	0	OK	10-06-2024	09:30:32.786	2903.647	18.508	OK	10-06-2024	09:30:32.786	2903.647	1007	OK	10-06-2024	09:30:32.908	2903.768	67.127	26.000	595	0	OK	10-06-2024	09:30:32.908	2903.768	18.507	OK	10-06-2024	09:30:32.908	2903.768	1007	OK	10-06-2024	09:32:09.175	3000.035	18.509	OK			
10-06-2024	09:35:32.667	3203.527	76.842	24.729	208	0	OK	10-06-2024	09:35:32.667	3203.527	18.513	OK	10-06-2024	09:35:32.667	3203.527	1006	OK	10-06-2024	09:35:32.551	3203.412	76.187	25.213	267	0	OK	10-06-2024	09:35:32.551	3203.412	18.513	OK	10-06-2024	09:35:32.551	3203.412	1007	OK	10-06-2024	09:35:32.787	3203.648	78.695	26.035	205	0	OK	10-06-2024	09:35:32.787	3203.648	18.513	OK	10-06-2024	09:35:32.787	3203.648	1007	OK	10-06-2024	09:35:32.912	3203.773	67.069	26.010	594	0	OK	10-06-2024	09:35:32.912	3203.773	18.513	OK	10-06-2024	09:35:32.912	3203.773	1006	OK	10-06-2024	09:37:09.175	3300.035	18.517	OK			
10-06-2024	09:40:32.664	3503.524	76.864	24.726	208	0	OK	10-06-2024	09:40:32.664	3503.524	18.514	OK	10-06-2024	09:40:32.664	3503.524	1006	OK	10-06-2024	09:40:32.550	3503.410	76.279	25.200	267	0	OK	10-06-2024	09:40:32.550	3503.410	18.513	OK	10-06-2024	09:40:32.550	3503.410	1006	OK	10-06-2024	09:40:32.787	3503.647	78.743	26.028	206	0	OK	10-06-2024	09:40:32.787	3503.647	18.514	OK	10-06-2024	09:40:32.787	3503.647	1006	OK	10-06-2024	09:40:32.910	3503.771	67.148	25.996	594	0	OK	10-06-2024	09:40:32.910	3503.771	18.514	OK	10-06-2024	09:40:32.910	3503.771	1006	OK	10-06-2024	09:42:09.174	3600.035	18.517	OK			
