#--- Experiment --------------------------------------------------------------------------
#240610_saltwater3
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.0.2415   www.pyroscience.com
#WARD_FIRESTING3
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-B [A] FSO2-C4 SN:21130040 UiD:24E144015D64A6DD Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-534-212 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	6/9/2024	5/13/2024	20.173000	52.703000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1004.744000	29.387000	48.285000	10.247000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.11°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
10-06-2024	14:54:24.013	-19.562	67.886	25.832	571	0	OK	10-06-2024	14:54:24.013	-19.562	18.873	OK	10-06-2024	14:54:24.013	-19.562	1006	OK
10-06-2024	14:59:23.993	280.418	67.904	25.827	572	0	OK	10-06-2024	14:59:23.993	280.418	18.877	OK	10-06-2024	14:59:23.993	280.418	1006	OK
10-06-2024	15:04:23.994	580.420	67.967	25.815	572	0	OK	10-06-2024	15:04:23.994	580.420	18.883	OK	10-06-2024	15:04:23.994	580.420	1006	OK
10-06-2024	15:09:23.869	880.294	67.930	25.821	572	0	OK	10-06-2024	15:09:23.869	880.294	18.888	OK	10-06-2024	15:09:23.869	880.294	1006	OK
10-06-2024	15:14:23.876	1180.302	67.968	25.813	572	0	OK	10-06-2024	15:14:23.876	1180.302	18.892	OK	10-06-2024	15:14:23.876	1180.302	1006	OK
10-06-2024	15:19:23.873	1480.298	67.958	25.814	572	0	OK	10-06-2024	15:19:23.873	1480.298	18.899	OK	10-06-2024	15:19:23.873	1480.298	1006	OK
10-06-2024	15:24:23.871	1780.296	67.914	25.822	572	0	OK	10-06-2024	15:24:23.871	1780.296	18.905	OK	10-06-2024	15:24:23.871	1780.296	1006	OK
10-06-2024	15:29:23.874	2080.299	67.944	25.816	572	0	OK	10-06-2024	15:29:23.874	2080.299	18.907	OK	10-06-2024	15:29:23.874	2080.299	1006	OK
10-06-2024	15:34:23.873	2380.298	67.994	25.807	572	0	OK	10-06-2024	15:34:23.873	2380.298	18.908	OK	10-06-2024	15:34:23.873	2380.298	1006	OK
10-06-2024	15:39:23.881	2680.306	68.046	25.798	572	0	OK	10-06-2024	15:39:23.881	2680.306	18.915	OK	10-06-2024	15:39:23.881	2680.306	1006	OK
10-06-2024	15:44:23.887	2980.312	68.098	25.788	572	0	OK	10-06-2024	15:44:23.887	2980.312	18.919	OK	10-06-2024	15:44:23.887	2980.312	1006	OK
10-06-2024	15:49:23.763	3280.189	68.060	25.795	572	0	OK	10-06-2024	15:49:23.763	3280.189	18.920	OK	10-06-2024	15:49:23.763	3280.189	1006	OK
10-06-2024	15:54:23.876	3580.301	68.078	25.791	572	0	OK	10-06-2024	15:54:23.876	3580.301	18.926	OK	10-06-2024	15:54:23.876	3580.301	1006	OK
10-06-2024	15:59:23.887	3880.312	68.133	25.780	572	0	OK	10-06-2024	15:59:23.887	3880.312	18.928	OK	10-06-2024	15:59:23.887	3880.312	1006	OK
10-06-2024	16:04:23.883	4180.308	68.079	25.790	572	0	OK	10-06-2024	16:04:23.883	4180.308	18.932	OK	10-06-2024	16:04:23.883	4180.308	1006	OK
